name,ring,quadrant,isNew,description
Infrastructure as code,Adopt,Techniques,FALSE,"<p>DEMO Although <strong>infrastructure as code</strong> is a relatively old technique (we’ve featured it in the Radar in 2011), it has become vitally important in the modern cloud era where the act of setting up infrastructure has become the passing of configuration instructions to a cloud platform. When we say ""as code"" we mean that all the good practices we've learned in the software world should be applied to infrastructure. Using source control, adhering to the <a href=""https://en.wikipedia.org/wiki/Don%27t_repeat_yourself"">DRY principle</a>, modularization, maintainability, and using automated testing and deployment are all critical practices. Those of us with a deep software and infrastructure background need to empathize with and support colleagues who do not. Saying ""treat infrastructure like code"" isn't enough; we need to ensure the hard-won learnings from the software world are also applied consistently throughout the infrastructure realm.</p>"
Micro frontends,Adopt,Techniques,FALSE,"<p><strong><a href=""https://micro-frontends.org/"">Micro-frontends</a></strong> extends the concepts of <strong><a href=""https://martinfowler.com/articles/microservices.html"">microservices</a></strong> to the frontend world. The idea is to think about a web app as a composition of features which are owned by independent teams. Each team has a distinct area of business or mission it cares about and specialises in. <strong><a href=""https://micro-frontends.org/"">Micro-frontends</a></strong> can be implemented using various web programming mechanisms like <strong><a href=""https://reactjs.org/"">React.js</a></strong>, <strong><a href=""https://angularjs.org/"">Angular.js</a></strong> or even a combination of these (only if part of deliberate transition strategy i.e. avoid microfrontend anarchy). We're confident this style will allow our organizations to decompose UI and enable parallel development across multiple teams.</p>"
Self-Contained Systems with microservices,Adopt,Techniques,FALSE,"<p>The <strong><a href=""https://scs-architecture.org/"">Self-Contained Systems</a></strong> (SCS) with <strong><a href=""https://martinfowler.com/articles/microservices.html"">microservices</a></strong> is an architecture style focussing on a separation of functionality into many independent systems, making the complete logical system a collaboration of many smaller software systems. This avoids the problem of large monoliths that grow constantly and eventually become unmaintainable. This architecture style combines the benefits of monolithic patterns as well as microservice patterns and keeps the potential complexity of a pure microservice architecture under control.</p>"
Domain Driven Design,Adopt,Techniques,FALSE,"<p>Use <strong><a href=""https://en.wikipedia.org/wiki/Domain-driven_design"">Domain Driven Design</a></strong> concepts and principles for decomposing the application/solution into sub-systems which are responsible for entire life cycle of its domain.</p>"
Arc42,Adopt,Techniques,FALSE,"<p><strong><a href=""https://docs.arc42.org/home/"">Arc42</a></strong> our standard way for documenting and communicating software and system architectures.</p>"
API Management,Adopt,Techniques,FALSE,"<p>We are strongly moving towards <strong><a href=""https://medium.com/better-practices/api-first-software-development-for-modern-organizations-fdbfba9a66d3"">API First strategy</a></strong> where we treat our APIs as first-class-citizens. As we setup more and more SCS, the amount of exposed APIs will grow with a heavy magnitute and require an <a href=""https://www.redhat.com/en/topics/api/what-is-api-management"">API Management</a> tool. With this tool, we want to centralizing control of our API including life cycle management, analytics, access control, monetization, and developer portal. Our APIs are defined using <a href=""https://www.openapis.org/"">OpenAPI Specification (OAS)</a> standard and we recognize this to be most popular open-source framework for defining and documenting REST APIs</p>"
2-Factor Authentication,Adopt,Techniques,FALSE,"<p><strong><a href=""https://en.wikipedia.org/wiki/Multi-factor_authentication"">2-Factor Auth</a></strong> for our web and mobile apps.</p>"
Consumer Driven Contracts,Trial,Techniques,FALSE,"<p><strong><a href=""https://www.martinfowler.com/articles/consumerDrivenContracts.html"">Consumer Driven Contracts</a></strong> are an essential part of a mature <strong><a href=""https://martinfowler.com/articles/microservices.html"">microservices</a></strong> testing portfolio, enabling independent service deployments. Frameworks like <strong><a href=""https://pact.io/"">pact</a></strong>, <strong><a href=""https://spring.io/projects/spring-cloud-contract"">spring-cloud-contract</a></strong> because they make proper contract tests easier to implement.</p>"
Client Side Load Balancing,Adopt,Techniques,FALSE,"<p><strong><a href=""https://medium.com/@mstykt/load-balancing-in-microservices-474ad84b847d"">Client Side Loadbalancing</a></strong> ensure fail-safety in production by reaching one of multiple instances of the same application where the caller (aka the client) handles the load balancing by using well established frameworks like <strong><a href=""https://spring.io/guides/gs/spring-cloud-loadbalancer/"">Spring Cloud LoadBalancer</a></strong>, <strong><a href=""https://cloud.spring.io/spring-cloud-netflix/multi/multi_spring-cloud-ribbon.html"">Spring Cloud Ribbon</a></strong>, <strong><a href=""https://spring.io/projects/spring-cloud-openfeign"">Spring Cloud OpenFeign</a></strong></p>"
Feature toggle,Adopt,Techniques,TRUE,"<p><strong><a href=""https://www.thoughtworks.com/radar/techniques/simplest-possible-feature-toggle"">Feature toggles</a></strong> are powerful technique to modify system behavior without changing code and allows going towards <a href=""https://martinfowler.com/articles/continuousIntegration.html"">Continuous Integration</a>. We recommend using frameworks like <a href=""https://unleash.github.io/"">Unleash</a> or <a href=""https://ff4j.org/"">FF4J</a>. Unless you need A/B testing or <a href=""https://martinfowler.com/bliki/CanaryRelease.html"">canary release</a> we encourage you to use the <strong>simplest possible feature toggle</strong> instead of unnecessarily complex feature toggle frameworks.</p>"
